CRASH_ID,CRASH_DT,CRASH_X,CRASH_Y,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CITY_SECT_NM,FC_CD,FC_SHORT_DESC,LAT,LONG,ST_FULL_NM,ISECTG_ST_FULL_NM,POST_SPEED_LMT_VAL,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,IMPCT_LOC_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_SHORT_DESC,WTHR_COND_SHORT_DESC,RD_SURF_SHORT_DESC,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,CRASH_EVNT_1_SHORT_DESC,CRASH_CAUSE_1_SHORT_DESC,RTE_NM,CL_STREET1,CL_STREET2
1483388,9/11/2012 00:00,7656216.00,677303.00,9,11,2012,3,17,Portland SE,17,U COLL  ,45.50472222,-122.6294444,SE DIVISION ST             ,SE 34TH AVE                ,25,INTER   ,0,CROSS  ,0,0,0,,0,6,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DAY ,TRF SIGNAL,1,,TOO-CLOS,,SE DIVISION ST,SE 34TH AVE
1483405,9/15/2012 00:00,7655006.00,677335.00,9,15,2012,7,4,Portland SE,17,U COLL  ,45.50472222,-122.6341667,SE DIVISION ST             ,SE 30TH AVE                ,50,STRGHT  ,1,,0,0,0,2,0,8,PRKD MV   ,REAR    ,INJ,CLR ,DRY ,DLIT,NONE      ,1,,RECKLESS,,SE DIVISION ST,SE 30TH AVE
1483416,9/15/2012 00:00,7687607.00,676297.00,9,15,2012,7,20,Portland SE,14,U PR-ART,45.50416667,-122.5069444,SE DIVISION ST             ,SE 152ND AVE               ,55,INTER   ,1,3-LEG  ,0,0,0,,0,5,OVERTURN  ,NCOL    ,INJ,CLR ,DRY ,DLIT,UNKNOWN   ,1,PHANTOM   ,SPEED   ,,SE DIVISION ST,SE 152ND AVE
1483465,9/15/2012 00:00,7676714.00,676570.00,9,15,2012,7,16,Portland SE,14,U PR-ART,45.50416667,-122.5494444,SE DIVISION ST             ,SE 111TH AVE               ,55,INTER   ,0,CROSS  ,0,0,0,,0,2,ANGL-OTH  ,TURN    ,INJ,CLR ,DRY ,DAY ,STOP SIGN ,1,,NO-YIELD,,SE DIVISION ST,SE 111TH AVE
1483602,9/14/2012 00:00,7682196.00,676432.00,9,14,2012,6,10,Portland SE,14,U PR-ART,45.50416667,-122.5280556,SE DIVISION ST             ,SE 131ST AVE               ,45,STRGHT  ,0,,0,0,0,4,0,8,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,,TOO-CLOS,,SE DIVISION ST,SE 131ST AVE
1483739,9/17/2012 00:00,7673442.00,676755.00,9,17,2012,2,13,Portland SE,16,U MN-ART,45.50444444,-122.5622222,SE DIVISION ST             ,SE 98TH AVE                ,50,STRGHT  ,0,,0,0,0,4,0,8,S-1STOP   ,REAR    ,INJ,CLR ,DRY ,DAY ,UNKNOWN   ,1,,TOO-CLOS,,SE DIVISION ST,SE 98TH AVE
1484352,9/19/2012 00:00,7680772.00,676468.00,9,19,2012,4,15,Portland SE,14,U PR-ART,45.50416667,-122.5336111,SE DIVISION ST             ,SE 125TH AVE               ,55,STRGHT  ,0,,0,0,0,4,0,8,S-1STOP   ,REAR    ,INJ,CLR ,DRY ,DAY ,UNKNOWN   ,1,FORCED    ,TOO-CLOS,,SE DIVISION ST,SE 125TH AVE
1484375,8/30/2012 00:00,7685187.00,676357.00,8,30,2012,5,19,Portland SE,14,U PR-ART,45.50416667,-122.5163889,SE DIVISION ST             ,SE 142ND AVE               ,55,STRGHT  ,0,,0,0,0,4,0,8,PED       ,PED     ,INJ,CLR ,DRY ,DAY ,UNKNOWN   ,1,,RECKLESS,,SE DIVISION ST,SE 142ND AVE
1484461,8/10/2012 00:00,7674154.00,676737.00,8,10,2012,6,12,Portland SE,14,U PR-ART,45.50444444,-122.5594444,SE DIVISION ST             ,SE 101ST AVE               ,55,INTER   ,0,CROSS  ,0,0,0,,0,3,ANGL-OTH  ,ANGL    ,INJ,CLR ,DRY ,DAY ,STOP SIGN ,1,,PAS-STOP,,SE DIVISION ST,SE 101ST AVE
1484482,8/17/2012 00:00,7690671.00,676322.00,8,17,2012,6,19,Portland SE,14,U PR-ART,45.50444444,-122.495,SE DIVISION ST             ,SE 164TH AVE               ,,INTER   ,0,3-LEG  ,0,0,0,,0,6,S-1STOP   ,REAR    ,INJ,CLR ,DRY ,DAY ,STOP SIGN ,1,,TOO-CLOS,,SE DIVISION ST,SE 164TH AVE
1484507,9/21/2012 00:00,7693448.00,676254.00,9,21,2012,6,7,Portland SE,14,U PR-ART,45.50444444,-122.4841667,SE DIVISION ST             ,SE 174TH AVE               ,,STRGHT  ,0,,0,0,0,4,,8,O-1STOP   ,HEAD    ,INJ,CLR ,DRY ,DAY ,UNKNOWN   ,1,,TOO-FAST,,SE DIVISION ST,SE 174TH AVE
1484517,9/20/2012 00:00,7665405.00,677266.00,9,20,2012,5,7,Portland SE,17,U COLL  ,45.50527778,-122.5936111,SE DIVISION ST             ,SE 68TH AVE                ,50,INTER   ,0,3-LEG  ,0,0,0,,0,6,S-1STOP   ,REAR    ,INJ,UNK ,DRY ,DAWN,UNKNOWN   ,1,SUB-PED   ,TOO-CLOS,,SE DIVISION ST,SE 68TH AVE
1484518,9/21/2012 00:00,7661489.00,677367.00,9,21,2012,6,20,Portland SE,17,U COLL  ,45.50527778,-122.6088889,SE DIVISION ST             ,SE 17TH AVE                ,,INTER   ,0,CROSS  ,0,0,0,,0,3,O-1TURN   ,TURN    ,INJ,CLR ,DRY ,DUSK,TRF SIGNAL,1,,NO-YIELD,,SE DIVISION ST,SE 17TH AVE
